alg,run,k,c,tomatch,success,rate,time
Random,0,700,100,32964,14,0.000424706,0.002815
Random,1,700,100,32964,16,0.000485378,0.002743
Random,2,700,100,32964,18,0.00054605,0.002915
Random,3,700,100,32964,16,0.000485378,0.002829
Random,4,700,100,32964,18,0.00054605,0.00283
Random,5,700,100,32964,16,0.000485378,0.002827
Random,6,700,100,32964,16,0.000485378,0.002815
Random,7,700,100,32964,14,0.000424706,0.002868
Random,8,700,100,32964,12,0.000364033,0.002746
Random,9,700,100,32964,26,0.000788739,0.002846
Random,10,700,100,32964,16,0.000485378,0.002844
Random,11,700,100,32964,20,0.000606722,0.002785
Random,12,700,100,32964,10,0.000303361,0.002936
Random,13,700,100,32964,18,0.00054605,0.002873
Random,14,700,100,32964,20,0.000606722,0.002845
Random,15,700,100,32964,12,0.000364033,0.002863
Random,16,700,100,32964,12,0.000364033,0.002857
Random,17,700,100,32964,20,0.000606722,0.002978
Random,18,700,100,32964,24,0.000728067,0.004291
Random,19,700,100,32964,10,0.000303361,0.002985
Random,20,700,100,32964,12,0.000364033,0.004095
Random,21,700,100,32964,28,0.000849411,0.003713
Random,22,700,100,32964,20,0.000606722,0.004965
Random,23,700,100,32964,22,0.000667395,0.002925
Random,24,700,100,32964,16,0.000485378,0.004347
Random,25,700,100,32964,18,0.00054605,0.002952
Random,26,700,100,32964,8,0.000242689,0.004222
Random,27,700,100,32964,26,0.000788739,0.003369
Random,28,700,100,32964,16,0.000485378,0.002989
Random,29,700,100,32964,14,0.000424706,0.003116
RandomK,0,700,100,32964,6610,0.200522,0.168897
RandomK,1,700,100,32964,6690,0.202949,0.16943
RandomK,2,700,100,32964,6396,0.19403,0.243816
RandomK,3,700,100,32964,6582,0.199672,0.176869
RandomK,4,700,100,32964,6544,0.19852,0.14329
RandomK,5,700,100,32964,6496,0.197063,0.165103
RandomK,6,700,100,32964,6526,0.197974,0.172217
RandomK,7,700,100,32964,6410,0.194455,0.259005
RandomK,8,700,100,32964,6358,0.192877,0.181957
RandomK,9,700,100,32964,6554,0.198823,0.205673
RandomK,10,700,100,32964,6564,0.199126,0.278802
RandomK,11,700,100,32964,6484,0.196699,0.177984
RandomK,12,700,100,32964,6420,0.194758,0.288153
RandomK,13,700,100,32964,6436,0.195243,0.294209
RandomK,14,700,100,32964,6602,0.200279,0.304932
RandomK,15,700,100,32964,6548,0.198641,0.266186
RandomK,16,700,100,32964,6528,0.198034,0.212209
RandomK,17,700,100,32964,6556,0.198884,0.132131
RandomK,18,700,100,32964,6424,0.194879,0.119101
RandomK,19,700,100,32964,6444,0.195486,0.155795
RandomK,20,700,100,32964,6452,0.195729,0.302845
RandomK,21,700,100,32964,6526,0.197974,0.194861
RandomK,22,700,100,32964,6466,0.196153,0.302804
RandomK,23,700,100,32964,6468,0.196214,0.154976
RandomK,24,700,100,32964,6444,0.195486,0.314732
RandomK,25,700,100,32964,6410,0.194455,0.323404
RandomK,26,700,100,32964,6654,0.201857,0.309145
RandomK,27,700,100,32964,6468,0.196214,0.322522
