alg,run,k,c,tomatch,success,rate,time
Cluster,0,50,50,65928,34694,0.526241,0.020441
Cluster,1,90,50,65928,41790,0.633873,0.025037
Cluster,2,130,50,65928,45386,0.688418,0.030649
Cluster,3,170,50,65928,47438,0.719543,0.035403
Cluster,4,210,50,65928,48896,0.741658,0.041546
Cluster,5,250,50,65928,49938,0.757463,0.047493
Cluster,6,290,50,65928,50872,0.77163,0.051798
Cluster,7,330,50,65928,51474,0.780761,0.057626
Cluster,8,370,50,65928,51944,0.78789,0.057764
Cluster,9,410,50,65928,52086,0.790044,0.062626
Cluster,10,450,50,65928,52422,0.79514,0.068358
Cluster,11,490,50,65928,52746,0.800055,0.070656
Cluster,12,530,50,65928,52780,0.80057,0.076307
Cluster,13,570,50,65928,52918,0.802664,0.084833
Cluster,14,610,50,65928,53180,0.806638,0.085498
Cluster,15,650,50,65928,53256,0.80779,0.086361
Cluster,16,690,50,65928,53330,0.808913,0.090105
Cluster,17,730,50,65928,53356,0.809307,0.092174
Cluster,18,770,50,65928,53572,0.812583,0.097282
Cluster,19,810,50,65928,53586,0.812796,0.100675
Cluster,20,850,50,65928,53622,0.813342,0.105539
Cluster,21,890,50,65928,53672,0.8141,0.107493
Cluster,22,930,50,65928,53726,0.814919,0.111073
Cluster,23,970,50,65928,53766,0.815526,0.1137
Cluster,24,1010,50,65928,53706,0.814616,0.116381
Cluster,25,1050,50,65928,53832,0.816527,0.118394
Cluster,26,1090,50,65928,53826,0.816436,0.12137
Cluster,27,1130,50,65928,53862,0.816982,0.124649
Cluster,28,1170,50,65928,53836,0.816588,0.126941
Cluster,29,1210,50,65928,53896,0.817498,0.130372
Cluster,30,50,90,65928,40810,0.619009,0.020574
Cluster,31,90,90,65928,46322,0.702615,0.024919
Cluster,32,130,90,65928,48858,0.741081,0.030322
Cluster,33,170,90,65928,50610,0.767656,0.034704
Cluster,34,210,90,65928,51454,0.780457,0.039506
Cluster,35,250,90,65928,51998,0.788709,0.041217
Cluster,36,290,90,65928,52480,0.79602,0.045191
Cluster,37,330,90,65928,52864,0.801844,0.048574
Cluster,38,370,90,65928,53024,0.804271,0.052666
Cluster,39,410,90,65928,53230,0.807396,0.055277
Cluster,40,450,90,65928,53392,0.809853,0.058887
Cluster,41,490,90,65928,53544,0.812159,0.062437
Cluster,42,530,90,65928,53672,0.8141,0.063371
Cluster,43,570,90,65928,53708,0.814646,0.067351
Cluster,44,610,90,65928,53746,0.815223,0.069424
Cluster,45,650,90,65928,53778,0.815708,0.07461
Cluster,46,690,90,65928,53872,0.817134,0.074293
Cluster,47,730,90,65928,53882,0.817286,0.07657
Cluster,48,770,90,65928,53924,0.817923,0.080445
Cluster,49,810,90,65928,53934,0.818074,0.082327
Cluster,50,850,90,65928,53964,0.818529,0.08356
Cluster,51,890,90,65928,53984,0.818833,0.084803
Cluster,52,930,90,65928,53990,0.818924,0.087682
Cluster,53,970,90,65928,54018,0.819348,0.08992
Cluster,54,1010,90,65928,53990,0.818924,0.093293
Cluster,55,1050,90,65928,54022,0.819409,0.096413
Cluster,56,1090,90,65928,54032,0.819561,0.099207
Cluster,57,1130,90,65928,54030,0.81953,0.10098
Cluster,58,1170,90,65928,54040,0.819682,0.10297
Cluster,59,1210,90,65928,54052,0.819864,0.106231
Cluster,60,50,130,65928,43394,0.658203,0.018558
Cluster,61,90,130,65928,48130,0.730039,0.024581
Cluster,62,130,130,65928,50256,0.762286,0.028442
