alg,run,k,c,tomatch,success,rate,time
Cluster,0,100,100,659283,483692,0.733664,0.348096
Cluster,1,200,100,659283,526560,0.798686,0.5381
Cluster,2,300,100,659283,542018,0.822133,0.68207
Cluster,3,400,100,659283,551684,0.836794,0.81196
Cluster,4,500,100,659283,556184,0.84362,0.9621
Cluster,5,600,100,659283,559460,0.848589,1.12276
Cluster,6,700,100,659283,561734,0.852038,1.3038
Cluster,7,800,100,659283,563508,0.854729,1.49603
Cluster,8,900,100,659283,564514,0.856254,1.76278
Cluster,9,1000,100,659283,565580,0.857871,2.06078
Cluster,10,1100,100,659283,566204,0.858818,2.42736
Cluster,11,1200,100,659283,566820,0.859752,2.80209
Cluster,12,1300,100,659283,567578,0.860902,3.1541
Cluster,13,1400,100,659283,567922,0.861424,3.60063
Cluster,14,1500,100,659283,568276,0.861961,3.97988
Cluster,15,1600,100,659283,568692,0.862592,4.3805
Cluster,16,1700,100,659283,568896,0.862901,4.81542
Cluster,17,1800,100,659283,569086,0.863189,4.98234
Cluster,18,1900,100,659283,569266,0.863462,5.17294
Cluster,19,2000,100,659283,569464,0.863763,4.51419
Cluster,20,2100,100,659283,569696,0.864115,4.19257
Cluster,21,2200,100,659283,569654,0.864051,3.0575
Cluster,22,2300,100,659283,569854,0.864354,3.19392
Cluster,23,2400,100,659283,569910,0.864439,3.27339
Cluster,24,2500,100,659283,570042,0.864639,2.77766
Cluster,25,2600,100,659283,570134,0.864779,2.8525
Cluster,26,2700,100,659283,570280,0.865,2.93499
Cluster,27,2800,100,659283,570306,0.86504,2.96128
Cluster,28,2900,100,659283,570304,0.865037,3.03534
Cluster,29,3000,100,659283,570378,0.865149,3.08955
Cluster,30,3100,100,659283,570294,0.865022,3.14484
Cluster,31,3200,100,659283,570468,0.865285,3.20986
Cluster,32,3300,100,659283,570498,0.865331,3.30683
Cluster,33,3400,100,659283,570510,0.865349,3.35122
Cluster,34,3500,100,659283,570512,0.865352,3.41443
Cluster,35,3600,100,659283,570580,0.865455,3.50577
Cluster,36,3700,100,659283,570596,0.86548,3.547
Cluster,37,3800,100,659283,570628,0.865528,3.61674
Cluster,38,3900,100,659283,570658,0.865574,3.67375
Cluster,39,4000,100,659283,570682,0.86561,3.74583
Cluster,40,100,200,659283,513920,0.779514,0.253618
Cluster,41,200,200,659283,544362,0.825688,0.353786
Cluster,42,300,200,659283,554720,0.841399,0.451744
Cluster,43,400,200,659283,560002,0.849411,0.556723
Cluster,44,500,200,659283,563022,0.853991,0.668972
Cluster,45,600,200,659283,565322,0.85748,0.76111
Cluster,46,700,200,659283,566512,0.859285,0.851365
Cluster,47,800,200,659283,567370,0.860586,0.948216
Cluster,48,900,200,659283,568108,0.861706,1.01482
Cluster,49,1000,200,659283,568380,0.862118,1.09759
Cluster,50,1100,200,659283,568996,0.863053,1.18112
Cluster,51,1200,200,659283,569184,0.863338,1.25285
Cluster,52,1300,200,659283,569578,0.863936,1.31122
Cluster,53,1400,200,659283,569832,0.864321,1.39168
Cluster,54,1500,200,659283,569924,0.86446,1.48909
Cluster,55,1600,200,659283,570104,0.864733,1.53525
Cluster,56,1700,200,659283,570162,0.864821,1.61793
Cluster,57,1800,200,659283,570248,0.864952,1.68029
