alg,run,k,c,tomatch,success,rate,time
Distribution,0,5,100,6593,768,0.116487,0.001823
Distribution,1,15,100,6593,2500,0.37919,0.001955
Distribution,2,25,100,6593,3700,0.561201,0.002031
Distribution,3,35,100,6593,4030,0.611254,0.002046
Distribution,4,45,100,6593,4058,0.615501,0.002087
Distribution,5,55,100,6593,4058,0.615501,0.002071
Distribution,6,65,100,6593,4058,0.615501,0.002149
Distribution,7,75,100,6593,4058,0.615501,0.002045
Distribution,8,85,100,6593,4058,0.615501,0.002013
Distribution,9,95,100,6593,4058,0.615501,0.002021
Distribution,10,105,100,6593,4058,0.615501,0.002111
Distribution,11,115,100,6593,4058,0.615501,0.002035
Distribution,12,125,100,6593,4058,0.615501,0.002015
Distribution,13,135,100,6593,4058,0.615501,0.002131
Distribution,14,145,100,6593,4058,0.615501,0.002005
Distribution,15,155,100,6593,4058,0.615501,0.002069
Distribution,16,165,100,6593,4058,0.615501,0.002094
Distribution,17,175,100,6593,4058,0.615501,0.002
Distribution,18,185,100,6593,4058,0.615501,0.002118
Distribution,19,195,100,6593,4058,0.615501,0.002049
Distribution,20,205,100,6593,4058,0.615501,0.002104
Distribution,21,215,100,6593,4058,0.615501,0.002061
Distribution,22,225,100,6593,4058,0.615501,0.002031
Distribution,23,235,100,6593,4058,0.615501,0.002054
Distribution,24,245,100,6593,4058,0.615501,0.002075
Distribution,25,255,100,6593,4058,0.615501,0.002031
Distribution,26,265,100,6593,4058,0.615501,0.002089
Distribution,27,275,100,6593,4058,0.615501,0.002043
Distribution,28,285,100,6593,4058,0.615501,0.002017
Distribution,29,295,100,6593,4058,0.615501,0.002037
Distribution,30,305,100,6593,4058,0.615501,0.002051
Distribution,31,315,100,6593,4058,0.615501,0.002107
Distribution,32,325,100,6593,4058,0.615501,0.002045
Distribution,33,335,100,6593,4058,0.615501,0.00206
Distribution,34,345,100,6593,4058,0.615501,0.002121
Distribution,35,355,100,6593,4058,0.615501,0.002104
Distribution,36,365,100,6593,4058,0.615501,0.002115
Distribution,37,375,100,6593,4058,0.615501,0.002077
Distribution,38,385,100,6593,4058,0.615501,0.002056
Distribution,39,395,100,6593,4058,0.615501,0.002026
Distribution,40,405,100,6593,4058,0.615501,0.002114
Distribution,41,415,100,6593,4058,0.615501,0.002055
Distribution,42,425,100,6593,4058,0.615501,0.002027
Distribution,43,435,100,6593,4058,0.615501,0.002046
Distribution,44,445,100,6593,4058,0.615501,0.002005
Distribution,45,455,100,6593,4058,0.615501,0.002051
Distribution,46,465,100,6593,4058,0.615501,0.00205
Distribution,47,475,100,6593,4058,0.615501,0.002047
Distribution,48,485,100,6593,4058,0.615501,0.002096
Distribution,49,495,100,6593,4058,0.615501,0.002041
