CSPM_0_001,TIMING,INIT,3,23.000000
CSPM_0_001,ANALYSIS,INFECTED,3,2017.000,769136
CSPM_0_001,ANALYSIS,PREVALENCE,3,2017.000,0.038457
CSPM_0_001,ANALYSIS,MALEPREVALENCE,3,2017.000,0.034332
CSPM_0_001,ANALYSIS,FEMALEPREVALENCE,3,2017.000,0.042630
CSPM_0_001,ANALYSIS,MSMPREVALENCE,3,2017.000,0.053521
CSPM_0_001,ANALYSIS,WSWPREVALENCE,3,2017.000,0.028290
CSPM_0_001,ANALYSIS,PARTNERSHIPS,3,2017.000,6592826
CSPM_0_001,ANALYSIS,MSMPARTNERSHIPS,3,2017.000,16428
CSPM_0_001,ANALYSIS,WSWPARTNERSHIPS,3,2017.000,40027
CSPM_0_001,ANALYSIS,SHORTBREAK_SHORTPARTNERSHIP,3,2017.000,0.000
CSPM_0_001,ANALYSIS,SHORTBREAK_LONGPARTNERSHIP,3,2017.000,0.000
CSPM_0_001,ANALYSIS,LONGBREAK_SHORTPARTNERSHIP,3,2017.000,0.000
CSPM_0_001,ANALYSIS,LONGBREAK_LONGPARTNERSHIP,3,2017.000,0.000
CSPM_0_001,ANALYSIS,MALE_AGE_000-004,3,2017.000,NA
CSPM_0_001,ANALYSIS,FEMALE_AGE_000-004,3,2017.000,NA
CSPM_0_001,ANALYSIS,MALE_AGE_005-009,3,2017.000,NA
CSPM_0_001,ANALYSIS,FEMALE_AGE_005-009,3,2017.000,NA
CSPM_0_001,ANALYSIS,MALE_AGE_010-014,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_010-014,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_015-019,3,2017.000,0.002
CSPM_0_001,ANALYSIS,FEMALE_AGE_015-019,3,2017.000,0.00396
CSPM_0_001,ANALYSIS,MALE_AGE_020-024,3,2017.000,0.0403
CSPM_0_001,ANALYSIS,FEMALE_AGE_020-024,3,2017.000,0.0598
CSPM_0_001,ANALYSIS,MALE_AGE_025-029,3,2017.000,0.0604
CSPM_0_001,ANALYSIS,FEMALE_AGE_025-029,3,2017.000,0.099
CSPM_0_001,ANALYSIS,MALE_AGE_030-034,3,2017.000,0.091
CSPM_0_001,ANALYSIS,FEMALE_AGE_030-034,3,2017.000,0.118
CSPM_0_001,ANALYSIS,MALE_AGE_035-039,3,2017.000,0.1
CSPM_0_001,ANALYSIS,FEMALE_AGE_035-039,3,2017.000,0.13
CSPM_0_001,ANALYSIS,MALE_AGE_040-044,3,2017.000,0.0894
CSPM_0_001,ANALYSIS,FEMALE_AGE_040-044,3,2017.000,0.118
CSPM_0_001,ANALYSIS,MALE_AGE_045-049,3,2017.000,0.0608
CSPM_0_001,ANALYSIS,FEMALE_AGE_045-049,3,2017.000,0.0991
CSPM_0_001,ANALYSIS,MALE_AGE_050-054,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_050-054,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_055-059,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_055-059,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_060-064,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_060-064,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_065-069,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_065-069,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_070-074,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_070-074,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_075-079,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_075-079,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_080-084,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_080-084,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_085-089,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_085-089,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_090-094,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_090-094,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_095-099,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_095-099,3,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_100-104,3,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_100-104,3,2017.000,0
CSPM_0_001,ANALYSIS,SCORE,3,2017.000,0.000000
CSPM_0_001,ANALYSIS,FAILED,3,2017.000,0
CSPM_0_001,ANALYSIS,POOR,3,2017.000,0
