CSPM_0_001,TIMING,INIT,0,33.000000
CSPM_0_001,ANALYSIS,INFECTED,0,2017.000,1538818
CSPM_0_001,ANALYSIS,PREVALENCE,0,2017.000,0.038470
CSPM_0_001,ANALYSIS,MALEPREVALENCE,0,2017.000,0.034350
CSPM_0_001,ANALYSIS,FEMALEPREVALENCE,0,2017.000,0.042641
CSPM_0_001,ANALYSIS,MSMPREVALENCE,0,2017.000,0.054584
CSPM_0_001,ANALYSIS,WSWPREVALENCE,0,2017.000,0.027889
CSPM_0_001,ANALYSIS,PARTNERSHIPS,0,2017.000,13185651
CSPM_0_001,ANALYSIS,MSMPARTNERSHIPS,0,2017.000,32763
CSPM_0_001,ANALYSIS,WSWPARTNERSHIPS,0,2017.000,79785
CSPM_0_001,ANALYSIS,SHORTBREAK_SHORTPARTNERSHIP,0,2017.000,0.000
CSPM_0_001,ANALYSIS,SHORTBREAK_LONGPARTNERSHIP,0,2017.000,0.000
CSPM_0_001,ANALYSIS,LONGBREAK_SHORTPARTNERSHIP,0,2017.000,0.000
CSPM_0_001,ANALYSIS,LONGBREAK_LONGPARTNERSHIP,0,2017.000,0.000
CSPM_0_001,ANALYSIS,MALE_AGE_000-004,0,2017.000,NA
CSPM_0_001,ANALYSIS,FEMALE_AGE_000-004,0,2017.000,NA
CSPM_0_001,ANALYSIS,MALE_AGE_005-009,0,2017.000,NA
CSPM_0_001,ANALYSIS,FEMALE_AGE_005-009,0,2017.000,NA
CSPM_0_001,ANALYSIS,MALE_AGE_010-014,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_010-014,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_015-019,0,2017.000,0.00199
CSPM_0_001,ANALYSIS,FEMALE_AGE_015-019,0,2017.000,0.00394
CSPM_0_001,ANALYSIS,MALE_AGE_020-024,0,2017.000,0.0407
CSPM_0_001,ANALYSIS,FEMALE_AGE_020-024,0,2017.000,0.0596
CSPM_0_001,ANALYSIS,MALE_AGE_025-029,0,2017.000,0.0604
CSPM_0_001,ANALYSIS,FEMALE_AGE_025-029,0,2017.000,0.0996
CSPM_0_001,ANALYSIS,MALE_AGE_030-034,0,2017.000,0.0901
CSPM_0_001,ANALYSIS,FEMALE_AGE_030-034,0,2017.000,0.119
CSPM_0_001,ANALYSIS,MALE_AGE_035-039,0,2017.000,0.1
CSPM_0_001,ANALYSIS,FEMALE_AGE_035-039,0,2017.000,0.129
CSPM_0_001,ANALYSIS,MALE_AGE_040-044,0,2017.000,0.0903
CSPM_0_001,ANALYSIS,FEMALE_AGE_040-044,0,2017.000,0.119
CSPM_0_001,ANALYSIS,MALE_AGE_045-049,0,2017.000,0.0602
CSPM_0_001,ANALYSIS,FEMALE_AGE_045-049,0,2017.000,0.0993
CSPM_0_001,ANALYSIS,MALE_AGE_050-054,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_050-054,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_055-059,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_055-059,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_060-064,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_060-064,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_065-069,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_065-069,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_070-074,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_070-074,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_075-079,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_075-079,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_080-084,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_080-084,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_085-089,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_085-089,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_090-094,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_090-094,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_095-099,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_095-099,0,2017.000,0
CSPM_0_001,ANALYSIS,MALE_AGE_100-104,0,2017.000,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_100-104,0,2017.000,0
CSPM_0_001,ANALYSIS,SCORE,0,2017.000,0.000000
CSPM_0_001,ANALYSIS,FAILED,0,2017.000,0
CSPM_0_001,ANALYSIS,POOR,0,2017.000,0
CSPM_0_001,ANALYSIS,INFECTED,0,2017.299,1648668
CSPM_0_001,ANALYSIS,PREVALENCE,0,2017.299,0.041217
CSPM_0_001,ANALYSIS,MALEPREVALENCE,0,2017.299,0.037206
CSPM_0_001,ANALYSIS,FEMALEPREVALENCE,0,2017.299,0.045276
CSPM_0_001,ANALYSIS,MSMPREVALENCE,0,2017.299,0.059815
CSPM_0_001,ANALYSIS,WSWPREVALENCE,0,2017.299,0.029727
CSPM_0_001,ANALYSIS,PARTNERSHIPS,0,2017.299,19194128
CSPM_0_001,ANALYSIS,MSMPARTNERSHIPS,0,2017.299,627989
CSPM_0_001,ANALYSIS,WSWPARTNERSHIPS,0,2017.299,566077
CSPM_0_001,ANALYSIS,SHORTBREAK_SHORTPARTNERSHIP,0,2017.299,0.003
CSPM_0_001,ANALYSIS,SHORTBREAK_LONGPARTNERSHIP,0,2017.299,0.003
CSPM_0_001,ANALYSIS,LONGBREAK_SHORTPARTNERSHIP,0,2017.299,0.002
CSPM_0_001,ANALYSIS,LONGBREAK_LONGPARTNERSHIP,0,2017.299,0.003
CSPM_0_001,ANALYSIS,MALE_AGE_000-004,0,2017.299,NA
CSPM_0_001,ANALYSIS,FEMALE_AGE_000-004,0,2017.299,NA
CSPM_0_001,ANALYSIS,MALE_AGE_005-009,0,2017.299,NA
CSPM_0_001,ANALYSIS,FEMALE_AGE_005-009,0,2017.299,NA
CSPM_0_001,ANALYSIS,MALE_AGE_010-014,0,2017.299,0.00031
CSPM_0_001,ANALYSIS,FEMALE_AGE_010-014,0,2017.299,1.94e-05
CSPM_0_001,ANALYSIS,MALE_AGE_015-019,0,2017.299,0.00386
CSPM_0_001,ANALYSIS,FEMALE_AGE_015-019,0,2017.299,0.00434
CSPM_0_001,ANALYSIS,MALE_AGE_020-024,0,2017.299,0.045
CSPM_0_001,ANALYSIS,FEMALE_AGE_020-024,0,2017.299,0.0617
CSPM_0_001,ANALYSIS,MALE_AGE_025-029,0,2017.299,0.0664
CSPM_0_001,ANALYSIS,FEMALE_AGE_025-029,0,2017.299,0.104
CSPM_0_001,ANALYSIS,MALE_AGE_030-034,0,2017.299,0.0969
CSPM_0_001,ANALYSIS,FEMALE_AGE_030-034,0,2017.299,0.125
CSPM_0_001,ANALYSIS,MALE_AGE_035-039,0,2017.299,0.107
CSPM_0_001,ANALYSIS,FEMALE_AGE_035-039,0,2017.299,0.136
CSPM_0_001,ANALYSIS,MALE_AGE_040-044,0,2017.299,0.0962
CSPM_0_001,ANALYSIS,FEMALE_AGE_040-044,0,2017.299,0.126
CSPM_0_001,ANALYSIS,MALE_AGE_045-049,0,2017.299,0.0637
CSPM_0_001,ANALYSIS,FEMALE_AGE_045-049,0,2017.299,0.105
CSPM_0_001,ANALYSIS,MALE_AGE_050-054,0,2017.299,0.000862
CSPM_0_001,ANALYSIS,FEMALE_AGE_050-054,0,2017.299,0.00333
CSPM_0_001,ANALYSIS,MALE_AGE_055-059,0,2017.299,0.000206
CSPM_0_001,ANALYSIS,FEMALE_AGE_055-059,0,2017.299,0.000958
CSPM_0_001,ANALYSIS,MALE_AGE_060-064,0,2017.299,4.82e-05
CSPM_0_001,ANALYSIS,FEMALE_AGE_060-064,0,2017.299,0.000327
CSPM_0_001,ANALYSIS,MALE_AGE_065-069,0,2017.299,1.05e-05
CSPM_0_001,ANALYSIS,FEMALE_AGE_065-069,0,2017.299,0.000212
CSPM_0_001,ANALYSIS,MALE_AGE_070-074,0,2017.299,3.52e-06
CSPM_0_001,ANALYSIS,FEMALE_AGE_070-074,0,2017.299,3.08e-05
CSPM_0_001,ANALYSIS,MALE_AGE_075-079,0,2017.299,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_075-079,0,2017.299,1.44e-05
CSPM_0_001,ANALYSIS,MALE_AGE_080-084,0,2017.299,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_080-084,0,2017.299,0
CSPM_0_001,ANALYSIS,MALE_AGE_085-089,0,2017.299,0
CSPM_0_001,ANALYSIS,FEMALE_AGE_085-089,0,2017.299,0
CSPM_0_001,ANALYSIS,MALE_AGE_090-094,0,2017.299,0.000254
CSPM_0_001,ANALYSIS,FEMALE_AGE_090-094,0,2017.299,0.000101
CSPM_0_001,ANALYSIS,MALE_AGE_095-099,0,2017.299,0.00298
CSPM_0_001,ANALYSIS,FEMALE_AGE_095-099,0,2017.299,0
CSPM_0_001,ANALYSIS,MALE_AGE_100-104,0,2017.299,0.00435
CSPM_0_001,ANALYSIS,FEMALE_AGE_100-104,0,2017.299,0
CSPM_0_001,ANALYSIS,SCORE,0,2017.299,3.101448
CSPM_0_001,ANALYSIS,FAILED,0,2017.299,0
CSPM_0_001,ANALYSIS,POOR,0,2017.299,988299
CSPM_0_001,ANALYSIS,INFECTED,0,2017.600,1729589
CSPM_0_001,ANALYSIS,PREVALENCE,0,2017.600,0.043240
CSPM_0_001,ANALYSIS,MALEPREVALENCE,0,2017.600,0.039479
CSPM_0_001,ANALYSIS,FEMALEPREVALENCE,0,2017.600,0.047046
CSPM_0_001,ANALYSIS,MSMPREVALENCE,0,2017.600,0.064648
CSPM_0_001,ANALYSIS,WSWPREVALENCE,0,2017.600,0.030896
CSPM_0_001,ANALYSIS,PARTNERSHIPS,0,2017.600,25282342
CSPM_0_001,ANALYSIS,MSMPARTNERSHIPS,0,2017.600,926655
CSPM_0_001,ANALYSIS,WSWPARTNERSHIPS,0,2017.600,823409
CSPM_0_001,ANALYSIS,SHORTBREAK_SHORTPARTNERSHIP,0,2017.600,0.006
CSPM_0_001,ANALYSIS,SHORTBREAK_LONGPARTNERSHIP,0,2017.600,0.006
CSPM_0_001,ANALYSIS,LONGBREAK_SHORTPARTNERSHIP,0,2017.600,0.003
CSPM_0_001,ANALYSIS,LONGBREAK_LONGPARTNERSHIP,0,2017.600,0.004
CSPM_0_001,ANALYSIS,MALE_AGE_000-004,0,2017.600,NA
CSPM_0_001,ANALYSIS,FEMALE_AGE_000-004,0,2017.600,NA
CSPM_0_001,ANALYSIS,MALE_AGE_005-009,0,2017.600,NA
CSPM_0_001,ANALYSIS,FEMALE_AGE_005-009,0,2017.600,NA
CSPM_0_001,ANALYSIS,MALE_AGE_010-014,0,2017.600,0.000687
CSPM_0_001,ANALYSIS,FEMALE_AGE_010-014,0,2017.600,4.15e-05
CSPM_0_001,ANALYSIS,MALE_AGE_015-019,0,2017.600,0.00552
CSPM_0_001,ANALYSIS,FEMALE_AGE_015-019,0,2017.600,0.00468
CSPM_0_001,ANALYSIS,MALE_AGE_020-024,0,2017.600,0.049
CSPM_0_001,ANALYSIS,FEMALE_AGE_020-024,0,2017.600,0.0634
CSPM_0_001,ANALYSIS,MALE_AGE_025-029,0,2017.600,0.0717
CSPM_0_001,ANALYSIS,FEMALE_AGE_025-029,0,2017.600,0.107
CSPM_0_001,ANALYSIS,MALE_AGE_030-034,0,2017.600,0.102
CSPM_0_001,ANALYSIS,FEMALE_AGE_030-034,0,2017.600,0.129
CSPM_0_001,ANALYSIS,MALE_AGE_035-039,0,2017.600,0.112
CSPM_0_001,ANALYSIS,FEMALE_AGE_035-039,0,2017.600,0.141
CSPM_0_001,ANALYSIS,MALE_AGE_040-044,0,2017.600,0.101
CSPM_0_001,ANALYSIS,FEMALE_AGE_040-044,0,2017.600,0.131
CSPM_0_001,ANALYSIS,MALE_AGE_045-049,0,2017.600,0.0664
CSPM_0_001,ANALYSIS,FEMALE_AGE_045-049,0,2017.600,0.109
CSPM_0_001,ANALYSIS,MALE_AGE_050-054,0,2017.600,0.0015
CSPM_0_001,ANALYSIS,FEMALE_AGE_050-054,0,2017.600,0.00531
CSPM_0_001,ANALYSIS,MALE_AGE_055-059,0,2017.600,0.000346
